Feature_1;Feature_2;Feature_3;Feature_4;Feature_5;Feature_6;Feature_7;Feature_8;Water_Level
0,488786474;1,374983636;;-0,463432914;-1,322271479;;0,4142669;-1,107425046;29,57879825
0,104005423;2,042944861;;-0,961444444;0,382007205;-1,225791741;1,71998453;1,403619669;25,02968212
;-0,897293181;-0,425769873;-0,295665612;0,383567132;1,039632329;;1,010909565;31,56405556
0,617685613;-0,507789491;-1,086711896;0,116232717;-1,059588484;1,023680849;-1,123882772;0,547706193;21,39130689
-0,080616365;-0,560624884;-0,102831506;1,07998317;-1,192257409;-0,412156555;-0,751743565;-0,038617134;31,69089276
-0,684680893;-1,768081242;;1,637755019;0,246728211;0,212362054;-0,28261239;-0,051625424;20,47997778
-0,429811923;0,526928531;0,100808854;-1,17126821;0,253724503;-2,458741923;0,4138592;-1,409356857;27,46949091
-0,096055086;-1,194627603;;0,578278519;1,502827085;-1,541357655;0,975472956;0,131152705;32,92154695
-0,450667153;0,759856505;-0,235924851;0,717530516;-0,992269713;-0,632997032;0,943600053;;21,29742911
-0,035031899;-2,787288925;-0,199049283;0,032426118;-0,232773377;0,336338562;-0,476909928;0,838870861;27,76608405
;1,236848707;1,550078824;-0,913059738;-0,913599826;0,410695314;-1,18722041;-0,492602871;22,39087158
1,102526956;0,737606764;1,980196342;;-0,610838002;0,051243512;-0,150588339;-0,136557109;33,42223625
-0,023803708;-0,931766709;0,282217755;-1,408663268;-0,716826608;-0,118878763;-2,259553313;0,768991536;32,48518291
-2,05315451;0,669587691;-1,29280929;-0,404918691;0,519130647;2,198139519;0,116451978;-1,982626328;34,00875865
0,953695133;-0,231918405;0,069906654;0,55786303;-2,225377957;0,006536848;-0,40969389;1,221834906;33,12473512
0,727113763;-1,627001923;1,262625852;0,449525088;-1,547241597;0,055753103;1,034826114;-1,214043873;31,04829965
1,377577336;-1,512628774;-0,791227177;-0,942870835;1,376933732;-0,491016137;-1,162817003;0,445210879;22,77333793
0,661180991;0,667536095;-0,271339165;0,254534301;-0,650233086;1,674801678;1,144205159;1,082956829;24,53753924
0,794115935;0,519733306;-1,244362484;0,633301236;0,11426523;1,263364085;0,807419182;0,55038047;27,45282737
;-0,089000537;-0,55789226;0,252365924;-0,415548271;-0,275945776;0,459033905;;28,83345172
0,12159154;-1,519411891;-0,832401477;0,656043567;-1,230192117;;0,974399355;-0,268229935;31,73275093
2,998734106;1,243103578;-0,949279507;0,746174054;;-0,776712091;-1,069909143;0,994893335;23,40439442
-0,597945465;-0,101876355;;-0,748157937;-0,1269292;0,388182293;-2,588359164;;21,92416091
;1,402362653;;-0,359279035;-1,722228561;0,11687697;;1,971350649;27,23915256
1,666589343;0,865374971;-0,586694081;0,677766566;0,265006359;0,241323203;-1,558229849;1,061795338;22,36762116
0,107808328;-0,100841348;-0,600156495;-0,7936165;0,317258581;-1,749162802;0,78949876;-1,054105437;30,40605203
-2,058680686;1,821895316;-0,858087049;-0,722159162;1,134538331;1,854430901;-1,533001579;-0,95616806;28,63446335
-0,882678822;;1,639132128;-1,080252562;1,414745338;-0,709034112;;-1,271453699;31,11661696
;-0,111112714;-0,315158306;0,384970981;;-0,883723298;0,437872145;1,342035331;20,95154839
-0,022813694;;;0,830505189;-0,953524726;-0,77701023;-0,690074594;1,928633801;34,47046341
0,508192939;0,46331572;0,366235753;-1,320793404;1,938190471;0,479187531;0,723160113;-1,765521289;20,00008305
0,779643852;-0,35621245;-1,322782975;-0,953763666;-1,264894208;-1,281784195;0,06054782;-0,386762789;24,88163623
0,334069362;1,675975871;-0,129503714;-2,244889294;-0,241958212;1,193394436;-0,085939472;1,529330654;30,1945219
0,452941593;-1,838269734;0,10958225;0,297001294;1,080355801;1,819636572;0,90772552;0,440479797;20,67713111
0,676188272;-0,168006806;-1,462877837;0,041496086;0,365290327;-1,203657626;1,326621639;1,005411015;21,25024372
-1,371761415;;-0,308314369;-0,778491565;1,079277693;-0,051054413;1,899185321;-0,852888044;21,15022156
-1,731657524;-0,280438281;0,789222499;-0,927142986;-1,330100383;0,228927403;-1,46368721;0,3066927;28,7226459
-0,340623051;0,494466488;-1,383828804;1,298163151;-0,183034485;0,763522668;0,959875461;-1,157444952;33,43887973
;;-1,370137743;1,963999236;1,111853369;2,073664175;-0,370214031;0,102428664;28,33155467
0,527354747;-0,012195567;;-0,896084698;;-1,066859842;-1,094863492;0,393572011;29,05357028
-0,095159351;0,937206271;-0,42491141;;0,423553396;-0,812024875;;-0,61845439;25,19002477
;1,772436543;;1,295507582;0,737786756;1,566978847;3,136686048;1,431453021;20,28111738
0,925666948;-1,312496352;-1,186222262;0,360190184;-1,698076148;0,615439251;-2,134921891;1,152233386;20,32422077
;0,126596945;-0,748372296;-1,89852641;1,234695279;1,335701395;-0,351487765;0,661929565;33,3246495
-0,39089142;0,288489844;0,759139199;0,555084925;1,340969613;0,518880676;0,028084617;-0,761418968;21,53858658
;0,810051397;-1,501826519;;-0,281143726;-0,818605904;-1,098724177;0,674367786;34,99684058
;1,588765223;-1,263075651;;-0,092221158;-0,751856744;0,006118664;0,319500766;22,46633917
0,484484239;1,506167131;-1,303472429;0,33776032;-0,64694282;0,43001338;;-0,986919383;30,11951666
-0,901152343;0,511643063;0,023404511;-0,219621841;0,65798683;0,731718476;-0,529630113;-0,852053138;34,23433208
-1,261918977;0,03345412;-1,423160277;0,099428458;1,216836791;-0,35345977;-0,536204281;1,997844774;25,43433916
1,509701819;-0,764597871;0,139013181;0,328678242;0,203660423;1,814673448;0,087229892;;31,01649783
;1,189919716;0,936899194;0,538084786;-1,558699805;-0,488137724;;0,250398697;25,26284965
0,826128634;1,887166062;-1,176963205;1,137910175;-0,330363462;0,935349819;-0,041220743;2,127004539;24,57411585
0,130086936;-0,640514224;0,419874623;0,323942781;1,138097094;0,448052799;2,475064639;-0,111404135;23,02706124
-0,09961995;-0,60388605;;0,231059121;0,28121053;0,067187675;-0,609821217;;32,3140236
-0,375173725;;1,356799685;-0,076964536;-0,941582966;-0,08117361;2,091665435;0,998967835;23,86080595
0,550742692;0,962684917;1,540566611;;-0,392039869;-0,528721633;0,587114397;0,160110891;24,24737244
0,756311291;-0,50688735;1,371952051;-0,069333708;0,694545552;1,195406499;1,115124315;0,360828408;34,98454613
0,819346906;1,741660664;0,513601234;-0,729646402;0,583050731;-0,037281218;-2,348001134;0,461998024;24,90965653
0,11665065;1,156417771;;-1,505709662;;;0,093832945;0,020708684;26,34161733
-1,068726954;-0,138917137;-0,34840583;1,072708741;0,379325364;-0,277997122;1,723884876;-0,268907676;34,85083187
0,557786724;-0,166921334;1,631152515;0,086859776;0,116414228;-0,139870359;0,196511926;;25,53950518
0,845843845;0,028076181;1,701325106;0,872985641;-0,438181119;;-0,415013802;0,413348779;25,49228011
0,597200371;1,359137683;-1,094545975;-0,439155334;-1,17764267;-1,338799212;-0,627818746;0,366612244;32,41571699
;;-0,809275919;-1,779823175;0,214352208;-0,732138902;1,663031378;0,4098088;24,67895553
;-0,641112428;-1,49467022;-1,367871777;-0,622140955;-0,698902882;;0,377094727;23,50679155
0,514265592;-0,458632397;1,935152268;-1,746729367;0,058163899;-0,218580204;-0,550700882;-0,697662846;26,34815383
-0,006959883;;-0,391876527;-1,298719635;-1,618111818;-0,288516475;-0,402096104;-0,19703686;30,50961201
-0,108621798;-0,522502342;;-0,853528308;1,523945809;-0,799740148;-0,370980709;-0,723788789;20,64864537
-0,74058154;0,024641567;;-0,45946039;-0,283475992;-0,719813551;;2,055192743;25,60874041
-0,874841277;0,393963224;0,044948957;0,668629758;0,69679296;0,205412697;;-0,4344502;25,19367353
-0,764960353;-0,096845661;-1,284588831;-0,59385599;1,106853624;0,098512221;0,892664419;1,469643887;23,67227521
-0,177029456;0,207325834;-0,301845894;;-0,952968259;0,843150373;0,20862728;1,846603072;29,81431004
0,972052013;-0,73121299;0,84034218;-0,305075539;;-0,486333877;;-0,795755077;24,34985121
-0,744664902;-0,840251765;-0,572608276;0,85669187;1,796044208;-1,330189516;1,263513043;-0,477703716;29,10097339
0,347882531;-1,654146031;0,524035017;-2,005312397;0,313935072;;0,191007634;-0,734910151;27,56505262
0,549526674;0,391081509;-0,209952784;0,671850307;-0,095604147;0,528777159;-0,125879327;0,216701991;23,25784806
0,574722941;-0,397912574;;0,276079006;1,189391379;0,299150973;0,318142315;-0,042176106;23,99849086
0,739118653;-0,185935416;-0,453898781;1,105298253;-0,530538318;0,889470946;1,105935462;;22,5590008
-1,24923552;0,027154909;-0,201999997;-0,495999255;0,142751587;0,769206347;-0,45855266;-0,171382674;20,84943822
-0,241058934;1,163871046;-0,257100618;-1,234405658;-1,573434839;0,362729567;-0,76068174;0,668724505;29,28782695
-1,331219989;-0,538912167;;0,434610716;0,648847541;0,338625158;-1,08593632;-0,745763744;30,09183041
0,234313989;-1,687741408;;1,516905353;-0,179955549;-1,488544639;-0,607409248;-0,630692326;22,4899999
2,14030878;1,665679081;;-0,343075931;1,200629661;-1,133459639;1,076575315;0,927973537;29,23088577
-0,151345735;1,139186313;-0,447221129;-1,265085598;0,977965013;-0,085242929;0,601780603;1,820886592;34,7312711
-0,722254072;-0,143379505;1,569634505;0,668731731;-0,699782744;;-0,52808064;-0,738414705;21,11603142
0,237348119;0,078434507;0,279237754;-0,840812802;-0,070833908;;0,145006317;1,175440645;27,35556309
-1,424745909;0,483428231;-0,611014352;;0,158647451;0,404704113;;1,328331806;30,9955732
0,347410478;-0,705423714;0,098715052;-0,368881043;0,162399907;-0,419769712;-0,676810736;0,199272213;20,69013797
0,055789629;1,063955845;-0,414955879;-1,980853847;-0,363870798;-1,626430759;0,415671974;-1,673897928;31,67410241
-0,988371062;-0,362334458;1,543950605;-1,072890116;0,012404983;0,579976577;1,484060553;0,777794752;34,69266856
1,093906952;0,864307059;-1,209122971;0,359692104;0,848660952;-0,95650029;-0,579759877;-0,803192295;21,32731795
0,772622986;-0,06928112;-0,320845894;-1,281669917;-0,067394253;-0,567588355;0,243339565;-1,142967199;32,33344858
0,17790626;;-1,249296926;-1,327284038;-1,177020388;-0,206399057;0,120995434;0,269823632;25,67872317
0,307552918;-0,758523261;1,058402908;-0,442225526;0,45014976;-0,164155433;0,375621232;;22,16174304
0,393634877;-0,00738887;0,813840571;;-1,769891336;;1,068918415;-0,15455882;27,39789814
0,092062296;-1,053636614;0,065553725;-1,022812644;-0,875781275;-0,402483683;0,445097258;0,551847581;21,07278104
0,579044898;-1,588084115;-0,0066645;-0,196781833;-1,532182416;0,015983767;-0,250427217;0,511525672;27,83152112
;-0,54932053;;-2,221233501;;-1,763250932;-0,912193271;0,524813703;20,29035182
;-1,423717819;2,381944983;-1,359289051;1,650520903;-0,172202165;;0,566786391;30,92917163
1,336594076;;-0,51024979;0,846869735;;1,101917831;0,515111954;;27,31954529
0,178588599;0,221811148;;-0,142488852;0,848087159;0,237041224;0,788180009;;26,88409491
